user_name,week_number,game_number,squiggle_game_key,home_team,away_team,winning_team,selected_team,is_correct,source_tab
Pop,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Pop,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Katie,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Katie,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
David,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
David,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Chris,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Chris,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Jamie,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Jamie,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Emma,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Emma,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Zoe,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Zoe,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Phil,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Phil,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Tracy,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Tracy,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Shannan,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Shannan,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Tom,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Tom,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Billy,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Billy,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Jayne,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Jayne,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Ant,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Ant,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Alex,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Alex,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Ruby,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Ruby,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Ryan,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Ryan,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Mark,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Mark,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Greater Western Sydney,1,Round 0
Henry,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Henry,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Paulie,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Paulie,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Jenni,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Jenni,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Charlee,0,1,001,Sydney,Hawthorn,Hawthorn,Hawthorn,1,Round 0
Charlee,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Anne,0,1,001,Sydney,Hawthorn,Hawthorn,Sydney,0,Round 0
Anne,0,2,002,Greater Western Sydney,Collingwood,Greater Western Sydney,Collingwood,0,Round 0
Pop,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Pop,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Pop,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Pop,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Pop,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Pop,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Pop,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Pop,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Pop,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Katie,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Katie,1,2,012,Hawthorn,Essendon,Hawthorn,Essendon,0,Round 1
Katie,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Katie,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Katie,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Katie,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
Katie,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Katie,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Katie,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
David,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
David,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
David,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
David,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
David,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
David,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
David,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
David,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
David,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Chris,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Chris,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Chris,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Chris,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Chris,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Chris,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
Chris,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Chris,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Chris,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Jamie,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Jamie,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Jamie,1,3,013,Geelong,Fremantle,Geelong,Fremantle,0,Round 1
Jamie,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Jamie,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Jamie,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
Jamie,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Jamie,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Jamie,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Zoe,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Zoe,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Zoe,1,3,013,Geelong,Fremantle,Geelong,Fremantle,0,Round 1
Zoe,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Zoe,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Zoe,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
Zoe,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Zoe,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Zoe,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Emma,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Emma,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Emma,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Emma,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Emma,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Emma,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Emma,1,7,017,Adelaide,St Kilda,Adelaide,St Kilda,0,Round 1
Emma,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Emma,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Phil,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
